"idRecibo","Recibo","PrimaNeta","PrimaTotal","FechaRecibo","Situacion","Obs","Polizas_id"
"209","0","312.2","316.71","2024-01-23","Pagado",NULL,"1657718766"
"210","0","265.17","316.71","2025-01-23","Pagado",NULL,"1657718766"
"211","0","352","440","2025-02-01","Pagado",NULL,"1659352806"
"212","0","350.6","440","2024-02-01","Pagado",NULL,"1659352806"
"213","0","367.13","440","2024-08-01","Pagado",NULL,"1659352806"
"214","0","2235.03","1650","2025-03-01","Pagado",NULL,"1660047722"
"215","0","2235.03","1650","2024-09-01","Pagado",NULL,"1660047722"
"216","0","1922.43","1650","2024-03-01","Pagado",NULL,"1660047722"
"217","0","258.76","431.37","2025-02-18","Pagado",NULL,"1660734887"
"218","0","341","380","2024-02-18","Pagado",NULL,"1660734887"
"219","0","301.14","431.37","2024-08-18","Pagado",NULL,"1660734887"
"220","0","-122.3","685","2024-08-27","Pagado",NULL,"1661540334"
"221","0","649.44","685","2024-08-27","Pagado",NULL,"1661540334"
"222","0","480.24","472.23","2024-09-09","Pagado",NULL,"1662545450"
"223","0","1060","1155","2024-09-12","Pagado",NULL,"1663852242"
"224","0","1218.15","1074.68","2024-09-27","Pagado",NULL,"1664276299"
"225","0","-438.85","505","2024-07-14","Pagado",NULL,"1664370879"
"226","0","745.54","878.52","2024-11-20","Pagado",NULL,"1665407401"
"227","0","601.49","718.53","2024-05-20","Pagado",NULL,"1665407401"
"228","0","601.49","718.53","2024-02-20","Pagado",NULL,"1665407401"
"229","0","745.54","878.52","2024-08-20","Pagado",NULL,"1665407401"
"230","0","745.54","878.52","2025-02-20","Pagado",NULL,"1665407401"
"231","0","759.85","900","2024-02-01","Pagado",NULL,"1666377830"
"232","0","800","900","2025-02-01","Pagado",NULL,"1666377830"
"233","0","705.28","900","2024-05-01","Pagado",NULL,"1666377830"
"234","0","800","900","2024-11-01","Pagado",NULL,"1666377830"
"235","0","705.26","900","2024-08-01","Pagado",NULL,"1666377830"
"236","0","263.34","323","2025-05-10","Pagado",NULL,"1666711963"
"237","0","289.85","294.04","2024-05-10","Pagado",NULL,"1666711963"
"238","0","263.34","323","2024-11-10","Pagado",NULL,"1666711963"
"239","0","221.67","231.78","2024-05-11","Pagado",NULL,"1668193259"
"240","0","198.72","231.78","2024-11-11","Pagado",NULL,"1668193259"
"241","0","198.72","231.78","2025-05-11","Pagado",NULL,"1668193259"
"242","0","241.91","250","2025-02-01","Pagado",NULL,"1669995894"
"243","0","280.85","250","2024-05-01","Pagado",NULL,"1669995894"
"244","0","241.91","250","2024-11-01","Pagado",NULL,"1669995894"
"245","0","158.18","250","2024-02-01","Pagado",NULL,"1669995894"
"246","0","280.85","250","2024-08-01","Pagado",NULL,"1669995894"
"247","0","216.71","225","2024-06-09","Pagado",NULL,"1670591552"
"248","0","1537.17","1600","2024-12-22","Pagado",NULL,"1671215986"
"249","0","382.1","369.7","2024-12-30","Pagado",NULL,"1672406292"
"250","0","325.33","369.7","2024-03-30","Pagado",NULL,"1672406292"
"251","0","382.09","369.7","2024-06-30","Pagado",NULL,"1672406292"
"252","0","382.1","369.7","2024-09-30","Pagado",NULL,"1672406292"
"253","0","314.15","259.14","2024-08-14","Pagado",NULL,"1673443014"
"254","0","300","259.14","2024-11-14","Pagado",NULL,"1673443014"
"255","0","194.12","259.14","2024-02-14","Pagado",NULL,"1673443014"
"256","0","314.12","259.14","2024-05-14","Pagado",NULL,"1673443014"
"257","0","438.65","490","2024-04-04","Pagado",NULL,"1673893584"
"258","0","187.39","294.27","2024-03-06","Pagado",NULL,"1674126588"
"259","0","319.11","294.27","2025-03-06","Pagado",NULL,"1674126588"
"260","0","319.11","294.27","2024-09-06","Pagado",NULL,"1674126588"
"261","0","319.1","294.27","2024-06-06","Pagado",NULL,"1674126588"
"262","0","319.11","294.27","2024-12-06","Pagado",NULL,"1674126588"
"263","0","700.34","756.37","2025-02-11","Pagado",NULL,"1674724415"
"264","0","677.42","756.37","2024-08-11","Pagado",NULL,"1674724415"
"265","0","494.4","694.83","2024-02-11","Pagado",NULL,"1674724415"
"266","0","450.38","558","2024-04-21","Pagado",NULL,"1674739365"
"267","0","146.13","150","2025-01-30","Pagado",NULL,"1677153169"
"268","0","146.13","150","2024-01-30","Pagado",NULL,"1677153169"
"269","0","158.96","150","2024-04-30","Pagado",NULL,"1677153169"
"270","0","158.96","150","2024-07-31","Pagado",NULL,"1677153169"
"271","0","158.96","160","2024-10-31","Pagado",NULL,"1677153169"
"272","0","377.02","407","2024-03-20","Pagado",NULL,"1679324831"
"273","0","2185.28","2694.99","2024-02-01","Pagado",NULL,"1681400049"
"274","0","331.3","355","2024-12-23","Pagado",NULL,"1687426596"
"275","0","255","355","2024-03-23","Pagado",NULL,"1687426596"
"276","0","331.3","355","2024-09-23","Pagado",NULL,"1687426596"
"277","0","331.3","390.59","2024-06-23","Pagado",NULL,"1687426596"
"278","0","331.3","355","2025-03-23","Pagado",NULL,"1687426596"
"279","0","977.73","977.73","2024-07-12","Pagado",NULL,"1687637283"
"280","0","2152.97","2910","2024-07-03","Pagado",NULL,"1688392208"
"281","0","1389.18","1493","2024-07-12","Pagado",NULL,"1688480346"
"282","0","1756.31","2048.94","2024-07-27","Pagado",NULL,"1690285686"
"283","0","545.47","608","2024-09-15","Pagado",NULL,"1691647397"
"284","0","478.49","608","2024-03-15","Pagado",NULL,"1691647397"
"285","0","545.47","608","2025-03-15","Pagado",NULL,"1691647397"
"286","0","478.49","608","2024-03-15","Pagado",NULL,"1691647397"
"287","0","194.56","200.38","2024-12-01","Pagado",NULL,"1693556274"
"288","0","194.56","200.38","2024-09-01","Pagado",NULL,"1693556274"
"289","0","126.45","200.38","2024-06-01","Pagado",NULL,"1693556274"
"290","0","194.56","200.38","2025-03-01","Pagado",NULL,"1693556274"
"291","0","110.58","200.38","2024-03-01","Pagado",NULL,"1693556274"
"292","0","569.43","650","2024-06-01","Pagado",NULL,"1693588979"
"293","0","569.44","650","2024-03-01","Pagado",NULL,"1693588979"
"294","0","319.88","732.08","2024-09-01","Pagado",NULL,"1693588979"
"295","0","319.88","732.08","2024-12-01","Pagado",NULL,"1693588979"
"296","0","319.88","732.08","2025-03-01","Pagado",NULL,"1693588979"
"297","0","1201.56","1444.25","2025-03-20","Pagado",NULL,"1695234047"
"298","0","1102.34","1444.25","2024-03-20","Pagado",NULL,"1695234047"
"299","0","1102.34","1444.25","2024-03-20","Pagado",NULL,"1695234047"
"300","0","1201.56","1444.25","2024-09-20","Pagado",NULL,"1695234047"
"301","0","208.99","250","2025-03-28","Pagado",NULL,"1695897256"
"302","0","208.99","250","2024-12-28","Pagado",NULL,"1695897256"
"303","0","208.99","250","2024-09-28","Pagado",NULL,"1695897256"
"304","0","1046.4","1250","2024-10-26","Pagado",NULL,"1696067975"
"305","0","6315.8","7352","2024-10-24","Pagado",NULL,"1696842149"
"306","0","1008.46","1231.56","2024-11-18","Pagado",NULL,"1698058339"
"307","0","1837.41","2210","2024-11-01","Pagado",NULL,"1698089170"
"308","0","524.78","700","2025-05-25","Pagado",NULL,"1698315225"
"309","0","524.78","700","2024-05-25","Pagado",NULL,"1698315225"
"310","0","524.78","700","2024-11-25","Pagado",NULL,"1698315225"
"311","0","828.83","1045.62","2024-10-06","Pagado",NULL,"1699533963"
"312","0","421.52","514","2024-11-10","Pagado",NULL,"1699632182"
"313","0","1363.2","1555","2024-06-18","Pagado",NULL,"1704296209"
"314","0","842.23","1321.93","2025-02-15","Pagado",NULL,"1704729014"
"315","0","842.23","1321.93","2024-02-15","Pagado",NULL,"1704729014"
"316","0","220","268","2024-01-11","Pagado",NULL,"1704976272"
"317","0","220","268","2025-01-11","Pagado",NULL,"1704976272"
"318","0","252.07","268","2024-07-11","Pagado",NULL,"1704976272"
"319","0","421.56","567.48","2024-02-15","Pagado",NULL,"1705951184"
"320","0","421.56","567.48","2025-02-15","Pagado",NULL,"1705951184"
"321","0","469.38","583","2025-01-23","Pagado",NULL,"1706001656"
"322","0","469.38","583","2024-01-23","Pagado",NULL,"1706001656"
"323","0","1884.74","1800","2025-02-14","Pagado",NULL,"1707905723"
"324","0","1884.74","1800","2024-02-14","Pagado",NULL,"1707905723"
"325","0","1332.5","2022.43","2024-03-18","Pagado",NULL,"1709296856"
"326","0","1644.32","2274.23","2024-06-12","Pagado",NULL,"1709296856"
"327","0","600","660","2024-03-30","Pagado",NULL,"1709641326"
"328","0","560","593","2025-03-26","Pagado",NULL,"1709806342"
"329","0","560","593","2024-03-26","Pagado",NULL,"1709806342"
"330","0","612.85","769","2024-05-26","Pagado",NULL,"1710853201"
"331","0","81.62","258","2024-05-08","Pagado",NULL,"1711128205"
"332","0","243.32","258","2024-08-08","Pagado",NULL,"1711128205"
"333","0","220","258","2024-11-08","Pagado",NULL,"1711128205"
"334","0","220","258","2025-02-08","Pagado",NULL,"1711128205"
"335","0","461.43","1131","2024-09-28","Pagado",NULL,"1711627079"
"336","0","461.43","1131","2025-03-28","Pagado",NULL,"1711627079"
"337","0","461.31","1131","2024-03-28","Pagado",NULL,"1711627079"
"338","0","432.48","467.09","2025-04-17","Pagado",NULL,"1712138973"
"339","0","418.34","467.09","2024-10-17","Pagado",NULL,"1712138973"
"340","0","328.24","467.09","2024-04-17","Pagado",NULL,"1712138973"
"341","0","607.42","736","2024-06-15","Pagado",NULL,"1713806977"
"342","0","607.42","736","2025-03-15","Pagado",NULL,"1713806977"
"343","0","607.42","736","2024-12-15","Pagado",NULL,"1713806977"
"344","0","607.42","736","2024-09-15","Pagado",NULL,"1713806977"
"345","0","302.28","343.49","2024-09-20","Pagado",NULL,"1715106626"
"346","0","300","343.49","2024-12-20","Pagado",NULL,"1715106626"
"347","0","300","343.49","2025-03-20","Pagado",NULL,"1715106626"
"348","0","174.44","343.49","2024-06-20","Pagado",NULL,"1715106626"
"349","96490104","419.53","505.3","2024-05-09","Pagado",NULL,"1715184288"
"350","0","2148.34","2957.27","2024-07-04","Pagado",NULL,"1715194301"
"351","0","600","675","2025-02-01","Pagado",NULL,"1716280398"
"352","0","147.52","675","2024-08-01","Pagado",NULL,"1716280398"
"353","0","600","675","2024-11-01","Pagado",NULL,"1716280398"
"354","0","486.7","553.05","2024-08-26","Pagado",NULL,"1716542372"
"355","0","486.7","553.05","2024-11-26","Pagado",NULL,"1716542372"
"356","0","486.7","553.05","2025-02-26","Pagado",NULL,"1716542372"
"357","0","192.27","553.05","2024-05-26","Pagado",NULL,"1716542372"
"358","0","618.1","667","2024-07-22","Pagado",NULL,"1716885747"
"359","0","820","667","2025-01-22","Pagado",NULL,"1716885747"
"360","0","2340.18","3100","2024-05-30","Pagado",NULL,"1717075889"
"361","0","239.81","297.81","2024-06-04","Pagado",NULL,"1717281211"
"362","0","239.81","259","2024-12-04","Pagado",NULL,"1717281211"
"363","0","239.81","259","2025-06-04","Pagado",NULL,"1717281211"
"364","0","289.71","431","2024-08-07","Pagado",NULL,"1717542384"
"365","0","600","431","2025-02-07","Pagado",NULL,"1717542384"
"366","0","800","994.31","2024-12-30","Pagado",NULL,"1717675726"
"367","0","574.62","994.31","2024-06-30","Pagado",NULL,"1717675726"
"368","0","1831.42","2585.23","2024-07-22","Pagado",NULL,"1719222813"
"369","0","255.47","322","2024-07-02","Pagado",NULL,"1719943326"
"370","0","178.22","245","2025-03-29","Pagado",NULL,"1720622445"
"371","0","178.22","245","2024-09-29","Pagado",NULL,"1720622445"
"372","0","215.83","248.27","2025-01-16","Pagado",NULL,"1721157700"
"373","0","104.38","248.27","2024-07-16","Pagado",NULL,"1721157700"
"374","0","215.83","248.27","2024-10-16","Pagado",NULL,"1721157700"
"375","0","880","1059.59","2024-12-03","Pagado",NULL,"1721302281"
"376","0","585.92","2733.02","2024-08-14","Pagado",NULL,"1723631097"
"377","0","486.11","548.58","2025-02-19","Pagado",NULL,"1724069865"
"378","0","385.96","548.6","2024-08-19","Pagado",NULL,"1724069865"
"379","0","350","380","2024-08-31","Pagado",NULL,"1724756308"
"380","0","350","380","2025-02-28","Pagado",NULL,"1724756308"
"381","0","990","1110","2025-06-18","Pagado",NULL,"1726232561"
"382","0","990","1110","2024-12-18","Pagado",NULL,"1726232561"
"383","0","859.44","1089","2024-10-01","Pagado",NULL,"1727192520"
"384","0","344.65","389.03","2025-04-09","Pagado",NULL,"1728470626"
"385","0","263.22","388.9","2024-10-09","Pagado",NULL,"1728470626"
"386","0","125","300","2025-03-20","Pagado",NULL,"1729599911"
"387","0","125","300","2024-12-20","Pagado",NULL,"1729599911"
"388","0","450","574","2024-12-09","Pagado",NULL,"1730134123"
"389","0","1500","1700","2025-05-17","Pagado",NULL,"1731325497"
"390","0","1500","1700","2024-11-17","Pagado",NULL,"1731325497"
"391","0","500","750","2025-01-20","Pagado","Viene de cambio de mediador","1732041202"
"392","0","122.1","236.76","2024-11-22","Pagado",NULL,"1732272310"
"393","0","205.18","236.04","2025-02-22","Pagado",NULL,"1732272310"
"394","0","500","785","2024-11-26","Pagado",NULL,"1732552095"
"395","0","500","785","2025-05-26","Pagado",NULL,"1732552095"
"396","0","350","381","2024-12-10","Pagado",NULL,"1733835380"
"397","0","3000","3739","2025-10-07","Pagado",NULL,"1734083060"
"398","0","2800","3163","2025-01-02","Pagado",NULL,"1735034277"
"399","0","300","331","2024-03-20","Pagado",NULL,"1735216994"
"400","0","176.82","190.97","2024-07-03","Pagado",NULL,"1735899780"
"401","0","176.82","226.41","2024-01-03","Pagado",NULL,"1735899780"
"402","0","335.71","327","2024-07-15","Pagado",NULL,"1802663719"
"403","0","306.73","327","2024-01-15","Pagado",NULL,"1802663719"
"404","0","306.73","327","2025-01-15","Pagado",NULL,"1802663719"
"405","0","335.71","327","2024-10-15","Pagado",NULL,"1802663719"
"406","0","306.73","327","2024-04-15","Pagado",NULL,"1802663719"
"407","0","399.2","602","2024-02-12","Pagado",NULL,"1845467520"
"408","0","412.7","602","2025-02-12","Pagado",NULL,"1845467520"
"409","0","539.25","602","2024-08-12","Pagado",NULL,"1845467520"
"410","0","171.28","279.56","2025-03-14","Pagado",NULL,"2039420207"
"411","0","171.28","279.56","2024-03-14","Pagado",NULL,"2039420207"
"412","0","218.05","300","2024-12-20","Pagado",NULL,"2119290519"
"413","0","218.05","300","2025-03-20","Pagado",NULL,"2119290519"
"414","0","240.66","300","2024-03-20","Pagado",NULL,"2119290519"
"415","0","218.05","300","2024-09-20","Pagado",NULL,"2119290519"
"416","0","-240.66","300","2024-03-20","Pagado",NULL,"2119290519"
"417","0","240.66","300","2024-06-20","Pagado",NULL,"2119290519"
"418","0","240.66","300","2024-03-20","Pagado",NULL,"2119290519"
